layer,parameter,symbol,value,status
baseline_suitability,performance,E,0.3529411765,"Original relative weight preserved after removing non-discriminatory dispatchability/flexibility"
baseline_suitability,market_maturity,M,0.2941176471,"Original relative weight preserved after removing non-discriminatory dispatchability/flexibility"
baseline_suitability,cost_attractiveness,C,0.2352941176,"Original relative weight preserved after removing non-discriminatory dispatchability/flexibility"
baseline_suitability,om_simplicity,OM,0.1176470588,"Original relative weight preserved after removing non-discriminatory dispatchability/flexibility"
resilience,thermal_tolerance,RT,0.35,"Declared baseline scenario weight"
resilience,degradation_resistance,RD,0.25,"Declared baseline scenario weight"
resilience,humidity_soiling_tolerance,RH,0.20,"Declared baseline scenario weight"
resilience,operational_robustness,RO,0.20,"Declared baseline scenario weight"
climate_context,heat,H,0.40,"Declared baseline scenario weight"
climate_context,ghi_variability,CVGHI,0.20,"Declared baseline scenario weight"
climate_context,wind_variability,CVwind,0.20,"Declared baseline scenario weight"
climate_context,relative_humidity,RH2M,0.20,"Declared baseline scenario weight"
heat_component,mean_temperature,Tmean,0.60,"Declared baseline scenario weight"
heat_component,mean_daily_max_temperature,Tmax,0.40,"Declared baseline scenario weight"
attenuation,climate_penalty_intensity,lambda,1.00,"Dimensionless baseline scenario setting"
